"Product_Code","Ref","Description","ItemRange","Width","Height","ItemSalesPrice_excl","ItemColour","LabourSiteFit","LabourFactory","IsTemplate"
"P4T 2418 38mm","A2532","38mm CASEMENT","38 Casement","2390","1490","R8,338.54","WHITE","R1,158.13","R1,489.03","TRUE"
"PT0606. 38mm","A2532","38mm CASEMENT","38 Casement","590","590","R1,299.00","WHITE","R180.42","R231.96","FALSE"
"PT0609. 38mm","A2532","38mm CASEMENT","38 Casement","590","890","R1,966.71","WHITE","R273.15","R351.20","TRUE"
"PT0612. 38mm","A2532","38mm CASEMENT","38 Casement","590","1190","R2,187.79","WHITE","R303.86","R390.68","TRUE"
"PT0615 38mm","A2532","38mm CASEMENT","38 Casement","590","1490","R2,419.28","WHITE","R336.01","R432.01","TRUE"
"PT0618 38mm","A2532","38mm CASEMENT","38 Casement","590","1790","R2,809.21","WHITE","R390.17","R501.64","TRUE"
"PT1206 38mm","A2532","38mm CASEMENT","38 Casement","1190","590","R2,187.80","WHITE","R303.86","R390.68","TRUE"
"PT1212 38mm","A2532","38mm CASEMENT","38 Casement","1190","1190","R3,021.15","WHITE","R419.60","R539.49","TRUE"
"PT1215 38mm","A2532","38mm CASEMENT","38 Casement","1190","1490","R3,793.55","WHITE","R526.88","R677.42","TRUE"
"PTT 1815 - 873sash 38mm","A2532","38mm CASEMENT","38 Casement","1790","1490","R5,824.53","WHITE","R808.96","R1,040.09","TRUE"
"PTT0612. 38mm","A2532","38mm CASEMENT","38 Casement","590","1190","R2,911.48","WHITE","R404.37","R519.91","TRUE"
"PTT0615. 38mm","A2532","38mm CASEMENT","38 Casement","590","1490","R3,361.54","WHITE","R466.88","R600.27","TRUE"
"PTT0618 38mm","A2532","38mm CASEMENT","38 Casement","590","1790","R3,649.69","WHITE","R506.90","R651.73","TRUE"
"PTT1212 38mm","A2532","38mm CASEMENT","38 Casement","1190","1190","R3,962.39","WHITE","R550.33","R707.57","TRUE"
"PTT1215 38mm","A2532","38mm CASEMENT","38 Casement","1190","1490","R4,727.19","WHITE","R656.55","R844.14","TRUE"
"PTT1218 38mm","A2532","38mm CASEMENT","38 Casement","1190","1790","R5,318.93","WHITE","R738.74","R949.81","TRUE"
"PTT1812 38mm","A2532","38mm CASEMENT","38 Casement","1790","1190","R3,949.02","WHITE","R548.48","R705.18","TRUE"
"PTT1815 - 573 sash 38mm","A2532","38mm CASEMENT","38 Casement","1790","1490","R5,522.08","WHITE","R766.96","R986.09","TRUE"
"A9732-Kitchen","A9732","38mm CASEMENT - Alu B/Bars","38 Casement","510","930","R1,043.70","Charcoal","R116.48","R163.08","FALSE"
"A9732-W 1","A9732","38mm CASEMENT - Alu B/Bars","38 Casement","2465","340","R1,856.61","Charcoal","R207.21","R290.10","FALSE"
"A9732-W 2","A9732","38mm CASEMENT","38 Casement","1490","335","R719.77","Charcoal","R80.33","R112.46","FALSE"
"A9732-W 3","A9732","38mm CASEMENT - Alu B/Bars","38 Casement","1490","1290","R2,638.46","Charcoal","R294.47","R412.26","FALSE"
"B1467-sdadf","B1467","38mm CASEMENT","38 Casement","2390","1490","R6,486.21","Nat25","R723.91","R1,013.47","FALSE"
"B1467-sdfawer","B1467","38mm CASEMENT","38 Casement","2390","1490","R5,649.09","CHARCOAL","R630.48","R882.67","FALSE"
"B1467-sdrgsdfg","B1467","38mm CASEMENT","38 Casement","2390","1490","R5,649.09","Bronze","R630.48","R882.67","FALSE"
"B1467-werwer","B1467","38mm CASEMENT","38 Casement","1790","1490","R3,875.07","WHITE","R432.49","R605.48","FALSE"
"B1885-Bathroom","B1885","38mm CASEMENT","38 Casement","1490","630","R3,035.48","WHITE","R286.54","R401.15","FALSE"
"B1885-Kitchen","B1885","38mm CASEMENT","38 Casement","1490","1005","R4,030.30","WHITE","R374.81","R524.74","FALSE"
"B2403-w2","B2403","38mm CASEMENT","38 Casement","1000","600","R1,877.64","SPECIAL C3|VP 7105","R176.70","R247.37","FALSE"
"B2403-w6","B2403","38mm CASEMENT","38 Casement","750","600","R568.51","SPECIAL C3|VP 7105","R148.22","R207.50","FALSE"
"B2497-Bed 1 Opt 3","B2497","38mm CASEMENT - Double G;azed Glass With Colonial Bars inside (x1) bar horizontally","38 Casement","1485","1240","R5,486.53","WHITE","R612.34","R857.27","FALSE"
"B2497-Bed 2 Opt 3","B2497","38mm CASEMENT - Colonial Bars inside double glazed glass (x3) Bars horizontally","38 Casement","1480","1225","R7,216.21","WHITE","R537.92","R753.09","FALSE"
"B2497-DW1","B2497","38mm CASEMENT - No Bars","38 Casement","770","270","R598.61","WHITE","R66.81","R93.53","FALSE"
"B2497-Kitchen Opt 3","B2497","38mm CASEMENT - Double Glazed Glass with Colonial Bars Inside (x1) Horizontally","38 Casement","995","1250","R5,580.50","WHITE","R435.98","R610.37","FALSE"
"B2497-Shower Opt 3","B2497","38mm CASEMENT - No Bars","38 Casement","500","930","R3,206.84","WHITE","R250.53","R350.75","FALSE"
"B2646-Main Bed","B2646","38mm CASEMENT","38 Casement","1695","1200","R7,772.75","WHITE","R635.95","R890.34","FALSE"
"B2837-FRONT W2","B2837","38mm CASEMENT LOCKABLE HANDLE","38 Casement","965","1400","R2,547.46","CHARCOAL","R0.00","R340.55","FALSE"
"B2893-W2","B2893","38mm CASEMENT","38 Casement","1000","630","R1,877.92","WHITE","R133.37","R186.72","FALSE"
"B2943-W1","B2943","38mm CASEMENT","38 Casement","790","1530","R2,038.77","CHARCOAL","R227.54","R318.56","FALSE"
"B2943-W10","B2943","38mm CASEMENT","38 Casement","4700","760","R1,456.15","CHARCOAL","R162.52","R227.52","FALSE"
"B2943-W11","B2943","38mm CASEMENT","38 Casement","4300","760","R1,359.27","CHARCOAL","R151.70","R212.39","FALSE"
"B2943-W12","B2943","38mm CASEMENT - Skew Window . Bottom = 3055 , Left = 530 & Right 210","38 Casement","3055","530","R882.26","CHARCOAL","R98.47","R137.85","FALSE"
"B2943-W13","B2943","38mm CASEMENT","38 Casement","4295","230","R1,145.54","CHARCOAL","R127.85","R178.99","FALSE"
"B2943-W14","B2943","38mm CASEMENT","38 Casement","4700","220","R1,239.76","CHARCOAL","R138.37","R193.71","FALSE"
"B2943-W2","B2943","38mm CASEMENT","38 Casement","780","2620","R2,987.67","CHARCOAL","R333.45","R466.82","FALSE"
"B2943-W3","B2943","38mm CASEMENT","38 Casement","1185","2110","R2,702.27","CHARCOAL","R301.59","R422.23","FALSE"
"B2943-W4","B2943","38mm CASEMENT","38 Casement","1195","2110","R5,569.78","CHARCOAL","R621.63","R870.28","FALSE"
"B2943-W5","B2943","38mm CASEMENT","38 Casement","785","1670","R3,083.74","CHARCOAL","R344.17","R481.83","FALSE"
"B2943-W6","B2943","38mm CASEMENT","38 Casement","475","2110","R2,488.82","CHARCOAL","R277.77","R388.88","FALSE"
"B2943-W7","B2943","38mm CASEMENT","38 Casement","305","2110","R1,175.09","CHARCOAL","R131.15","R183.61","FALSE"
"B2943-W9","B2943","38mm CASEMENT - Skew Window .. Right = 530 , Left = 325 & Bottom = 1940","38 Casement","1940","530","R614.87","CHARCOAL","R68.62","R96.07","FALSE"
"B2951-W1","B2951","38mm CASEMENT","38 Casement","790","1595","R2,095.32","CHARCOAL","R233.85","R327.39","FALSE"
"B2951-W10","B2951","38mm CASEMENT","38 Casement","4705","760","R3,580.36","CHARCOAL","R399.59","R559.43","FALSE"
"B2951-W11","B2951","38mm CASEMENT","38 Casement","4300","760","R7,231.92","CHARCOAL","R807.13","R1,129.99","FALSE"
"B2951-W12","B2951","38mm CASEMENT - Skew Window Bottom = 3055 , Left = 530 & Right = 210","38 Casement","3055","530","R882.26","CHARCOAL","R98.47","R137.85","FALSE"
"B2951-W13","B2951","38mm CASEMENT","38 Casement","4300","220","R1,787.02","CHARCOAL","R199.44","R279.22","FALSE"
"B2951-W14","B2951","38mm CASEMENT","38 Casement","4700","215","R2,843.52","CHARCOAL","R317.36","R444.30","FALSE"
"B2951-W2","B2951","38mm CASEMENT","38 Casement","780","2620","R2,987.67","CHARCOAL","R333.45","R466.82","FALSE"
"B2951-W3","B2951","38mm CASEMENT","38 Casement","1185","2110","R2,702.27","CHARCOAL","R301.59","R422.23","FALSE"
"B2951-W4","B2951","38mm CASEMENT","38 Casement","1185","2100","R5,503.23","CHARCOAL","R614.20","R859.88","FALSE"
"B2951-W5","B2951","38mm CASEMENT","38 Casement","785","1670","R3,083.74","CHARCOAL","R344.17","R481.83","FALSE"
"B2951-W6","B2951","38mm CASEMENT","38 Casement","465","2110","R2,446.29","CHARCOAL","R273.02","R382.23","FALSE"
"B2951-W7","B2951","38mm CASEMENT","38 Casement","295","2110","R1,157.95","CHARCOAL","R129.24","R180.93","FALSE"
"B2951-W9","B2951","38mm CASEMENT - Skew Window .. Bottom = 1940 , Left = 325 & Right = 530","38 Casement","1940","530","R614.87","CHARCOAL","R68.62","R96.07","FALSE"
"B3072-W 1","B3072","38mm CASEMENT","38 Casement","975","540","R1,904.61","BRONZE","R165.33","R231.46","FALSE"
"B3072-W 2","B3072","38mm CASEMENT,Restrictor Stay","38 Casement","975","540","R2,198.74","BRONZE","R182.21","R255.10","FALSE"
"B3385-Dining Room","B3385","38mm CASEMENT","38 Casement","1190","1200","R8,447.17","BRONZE","R465.39","R651.55","FALSE"
"B3385-W 1 Opt 2","B3385","38mm CASEMENT","38 Casement","1180","1200","R8,447.17","BRONZE","R462.56","R647.58","FALSE"
"B3506-EW6","B3506","38mm CASEMENT","38 Casement","1210","1200","R2,908.90","WHITE","R324.65","R454.52","FALSE"
"B3531-Bathroom W2","B3531","38mm CASEMENT","38 Casement","900","900","R2,127.34","SILVER","R237.43","R332.40","FALSE"
"B3531-Family Room a W12","B3531","38mm CASEMENT","38 Casement","1290","1000","R3,036.05","SILVER","R338.85","R474.38","FALSE"
"B3531-Family Room W11","B3531","38mm CASEMENT","38 Casement","1500","1300","R4,853.26","SILVER","R541.66","R758.32","FALSE"
"B3531-Kitchen W1","B3531","38mm CASEMENT","38 Casement","1700","1000","R4,779.49","SILVER","R533.42","R746.79","FALSE"
"B3540-NW1&3","B3540","38mm CASEMENT","38 Casement","1135","1200","R3,087.22","WHITE","R344.56","R482.38","FALSE"
"B3540-NW11","B3540","38mm CASEMENT - Restrictor Stays .. Scool Clip Handle - No Handle Holes","38 Casement","1150","630","R2,031.55","WHITE","R226.74","R317.43","FALSE"
"B3540-NW12","B3540","38mm CASEMENT","38 Casement","2900","630","R3,888.63","WHITE","R434.00","R607.60","FALSE"
"B3540-NW2","B3540","38mm CASEMENT","38 Casement","485","1200","R1,452.74","WHITE","R162.14","R226.99","FALSE"
"B3540-NW4","B3540","38mm CASEMENT","38 Casement","1900","630","R2,856.62","WHITE","R318.82","R446.35","FALSE"
"B3540-NW5","B3540","38mm CASEMENT","38 Casement","1290","680","R2,421.30","WHITE","R270.23","R378.33","FALSE"
"B3540-NW6","B3540","38mm CASEMENT","38 Casement","1120","1070","R2,966.53","WHITE","R331.09","R463.52","FALSE"
"B3540-NW7","B3540","38mm CASEMENT","38 Casement","1700","1200","R5,206.15","WHITE","R581.04","R813.46","FALSE"
"B3540-NW8","B3540","38mm CASEMENT","38 Casement","1120","1200","R3,059.75","WHITE","R341.49","R478.09","FALSE"
"B3540-NW9","B3540","38mm CASEMENT - Restrictor Stays .. School Clip Handles - No Handle Holes","38 Casement","1890","630","R2,861.40","WHITE","R319.35","R447.09","FALSE"
"B3689-Living Room","B3689","38mm CASEMENT - Low E DG","38 Casement","2400","600","R3,461.69","SILVER","R386.35","R540.89","FALSE"
"B3753-W1 Insert","B3753","38mm CASEMENT","38 Casement","1053","1858","R3,363.54","WHITE","R375.40","R525.55","FALSE"
"B3940-Wa","B3940","38mm CASEMENT","38 Casement","1820","1500","R4,483.20","NAT25","R500.36","R700.50","FALSE"
"B3940-Wb","B3940","38mm CASEMENT","38 Casement","1510","1500","R3,784.78","NAT25","R422.41","R591.37","FALSE"
"B4000-W 1","B4000","38mm CASEMENT - Small Pane Colonial Bars Inserted into 5mm+5mm  Double Glazed Glass (2x3 panes )","38 Casement","450","1100","R1,370.45","BLACK","R182.75","R255.85","FALSE"
"B4000-W 6","B4000","38mm CASEMENT - Small Pane Colonial Bars inserted into 5mm+5mm double Glazed Glass ( 2x3 Panes )","38 Casement","600","1100","R1,737.88","BLACK","R230.04","R322.06","FALSE"
"B4000-W 7","B4000","38mm CASEMENT - Small Pane Colonial Bars Inserted into 5mm+5mm double glazed glass ( 4x3 panes )","38 Casement","1200","1100","R3,199.01","BLACK","R418.13","R585.39","FALSE"
"B4000-W2","B4000","38mm CASEMENT - Small pane colonial bars iserted into 5mm+5mm double glazed glass (2x3 panes per Opener )","38 Casement","1100","1100","R3,972.46","BLACK","R512.61","R717.66","FALSE"
"B4000-W4 & 5","B4000","38mm CASEMENT - Small Pane Colonial Bars Inserted into 5mm+5mm Glass ( 2x3 panes per opener )","38 Casement","1200","1100","R4,232.95","BLACK","R546.26","R764.76","FALSE"
"B4228-W1 Son","B4228","38mm CASEMENT","38 Casement","985","2000","R5,862.48","WHITE","R654.29","R916.01","FALSE"
"B4228-W2 Daughter","B4228","38mm CASEMENT","38 Casement","985","2000","R5,862.48","WHITE","R654.29","R916.01","FALSE"
"B4356-W1","B4356","38mm CASEMENT","38 Casement","3220","1425","R6,412.88","SILVER","R715.72","R1,002.01","FALSE"
"B4356-W2 A1","B4356","38mm CASEMENT","38 Casement","3210","955","R4,328.82","SILVER","R483.13","R676.38","FALSE"
"B4356-W2 A2","B4356","38mm CASEMENT","38 Casement","3220","955","R4,339.08","SILVER","R484.27","R677.98","FALSE"
"B4356-W2 B","B4356","38mm CASEMENT - Alu B/Bars","38 Casement","3220","955","R5,464.48","SILVER","R609.88","R853.83","FALSE"
"B4477-W103","B4477","38mm CASEMENT","38 Casement","600","1500","R3,333.33","CHARCOAL","R372.02","R520.83","FALSE"
"B4776-W1","B4776","38mm CASEMENT","38 Casement","1310","1560","R3,501.14","BLACK","R390.75","R547.05","FALSE"
"B4776-W2","B4776","38mm CASEMENT","38 Casement","715","1725","R2,650.44","BLACK","R295.81","R414.13","FALSE"
"B4800-W 4 Opt 3","B4800","38mm CASEMENT","38 Casement","390","1400","R1,380.39","WHITE","R153.07","R214.30","FALSE"
"B4800-W 4C Opt 3","B4800","38mm CASEMENT","38 Casement","390","1400","R1,380.39","WHITE","R153.07","R214.30","FALSE"
"B4825-Bed Opt 2","B4825","38mm CASEMENT","38 Casement","1480","920","R5,627.34","WHITE","R488.48","R683.88","FALSE"
"B4989-Frame Insert","B4989","38mm CASEMENT - 5mm Toughened Clear + 6.38 Low E","38 Casement","1127","3052","R9,224.73","SILVER","R1,029.55","R1,441.36","FALSE"
"B4989-W14","B4989","38mm CASEMENT","38 Casement","1190","600","R2,186.60","SILVER","R244.04","R341.66","FALSE"
"B4989-W3","B4989","38mm CASEMENT","38 Casement","590","1600","R2,635.25","SILVER","R294.11","R411.76","FALSE"
"B4989-W4","B4989","38mm CASEMENT","38 Casement","890","1300","R3,296.12","SILVER","R367.87","R515.02","FALSE"
"B4989-W5","B4989","38mm CASEMENT","38 Casement","1490","1300","R4,830.02","SILVER","R539.07","R754.69","FALSE"
"B4989-W6","B4989","38mm CASEMENT","38 Casement","1190","450","R1,774.21","SILVER","R198.02","R277.22","FALSE"
"B4989-W7 Lounge Fix","B4989","38mm CASEMENT","38 Casement","490","1300","R1,592.48","SILVER","R177.73","R248.82","FALSE"
"B4989-W8 Lounge ","B4989","38mm CASEMENT","38 Casement","1230","1300","R4,169.67","SILVER","R465.36","R651.51","FALSE"
"B4989-w8 Lounge A","B4989","38mm CASEMENT","38 Casement","1230","1300","R4,169.67","SILVER","R465.36","R651.51","FALSE"
"B5226-W2","B5226","38mm CASEMENT","38 Casement","2000","1600","R5,514.19","WHITE","R615.42","R861.59","FALSE"
"B5269-W 1","B5269","38mm CASEMENT - Add 3 Flats on each side of window","38 Casement","600","900","R3,766.04","BRONZE","R0.00","R348.71","FALSE"
"B5328-TV Room L","B5328","38mm CASEMENT","38 Casement","3888","1435","R11,621.13","NAT25","R1,297.00","R1,815.80","FALSE"
"B5328-TV Room R","B5328","38mm CASEMENT","38 Casement","3888","1435","R11,910.23","NAT25","R1,329.27","R1,860.97","FALSE"
"B5364-Dining Room","B5364","38mm CASEMENT","38 Casement","1485","1230","R5,887.52","WHITE","R613.28","R858.60","FALSE"
"B5364-Lounge","B5364","38mm CASEMENT","38 Casement","2460","1230","R9,779.62","WHITE","R1,018.71","R1,426.20","FALSE"
"B5441-W10","B5441","38mm CASEMENT - Restrictor Stay Left & Right ( Like Friction Stay )","38 Casement","880","1200","R3,239.57","CHARCOAL","R361.56","R506.18","FALSE"
"B5441-W12 , W13","B5441","38mm CASEMENT","38 Casement","1700","610","R3,577.95","CHARCOAL","R399.32","R559.05","FALSE"
"B5441-W15","B5441","38mm CASEMENT","38 Casement","2545","930","R6,011.36","CHARCOAL","R670.91","R939.28","FALSE"
"B5441-W1B","B5441","38mm CASEMENT","38 Casement","4955","930","R12,012.97","CHARCOAL","R1,340.73","R1,877.03","FALSE"
"B5441-W2","B5441","38mm CASEMENT","38 Casement","4140","930","R9,667.13","CHARCOAL","R1,078.92","R1,510.49","FALSE"
"B5441-W5","B5441","38mm CASEMENT","38 Casement","4940","930","R11,423.10","CHARCOAL","R1,274.90","R1,784.86","FALSE"
"B5441-W6","B5441","38mm CASEMENT","38 Casement","4920","930","R11,379.70","CHARCOAL","R1,270.06","R1,778.08","FALSE"
"B5441-W8","B5441","38mm CASEMENT","38 Casement","2400","800","R6,427.89","CHARCOAL","R717.40","R1,004.36","FALSE"
"B5789-W1","B5789","38mm CASEMENT","38 Casement","995","3130","R5,123.36","WHITE","R571.80","R800.52","FALSE"
"B5847-W 1","B5847","38mm CASEMENT","38 Casement","1200","900","R3,555.59","BRONZE","R0.00","R614.55","FALSE"
"B6049-W 3","B6049","38mm CASEMENT","38 Casement","500","500","R915.94","BRONZE","R0.00","R169.62","FALSE"
"B6350-Bed","B6350","38mm CASEMENT - Clear B/Bars ( On Opener & Fix )","38 Casement","1080","920","R2,837.35","WHITE","R0.00","R525.43","FALSE"
"B6350-Guest Bath","B6350","38mm CASEMENT - Clear B/Bars ( On Opener & Fix )","38 Casement","940","1140","R3,372.82","WHITE","R0.00","R624.60","FALSE"
"B6350-Mater Bath","B6350","38mm CASEMENT - Clear B/Bars","38 Casement","900","1150","R3,796.21","WHITE","R0.00","R669.23","FALSE"
"B7238-W 14 - 16","B7238","38mm CASEMENT","38 Casement","450","450","R1,128.95","CHARCOAL","R117.60","R164.64","FALSE"
"B7238-W 23","B7238","38mm CASEMENT","38 Casement","600","1500","R3,456.68","CHARCOAL","R360.07","R504.10","FALSE"
"B7238-W 26","B7238","38mm CASEMENT - Had to split because of sash size","38 Casement","2110","600","R4,920.66","CHARCOAL","R512.57","R717.60","FALSE"
"B7238-W 27 - 29 & 36 & 37","B7238","38mm CASEMENT","38 Casement","300","1500","R2,261.71","CHARCOAL","R235.59","R329.83","FALSE"
"B7238-W 38","B7238","38mm CASEMENT","38 Casement","935","1500","R4,109.06","CHARCOAL","R428.03","R599.24","FALSE"
"B7238-W 39","B7238","38mm CASEMENT","38 Casement","765","1500","R3,466.41","CHARCOAL","R361.08","R505.52","FALSE"
"B8468-Fix B Extender","B8468","38mm CASEMENT","38 Casement","150","545","R381.94","CHARCOAL","R42.63","R59.68","FALSE"
"B8468-FixB Insert A","B8468","38mm CASEMENT","38 Casement","1640","513","R1,401.48","CHARCOAL","R156.42","R218.98","FALSE"
"B8845-P4T2418","B8845","38mm CASEMENT","38 Casement","2390","1490","R8,170.22","WHITE","R914.51","R1,280.32","FALSE"
"B8845-PT1212","B8845","38mm CASEMENT","38 Casement","1190","1190","R2,535.33","WHITE","R286.98","R401.77","FALSE"
"B8845-PT1215","B8845","38mm CASEMENT","38 Casement","1190","1490","R3,338.45","WHITE","R381.08","R533.51","FALSE"
"B8845-PT126","B8845","38mm CASEMENT","38 Casement","1190","590","R1,944.45","WHITE","R221.91","R310.67","FALSE"
"B8845-PT129","B8845","38mm CASEMENT","38 Casement","1190","890","R2,453.36","WHITE","R279.90","R391.87","FALSE"
"B8845-PT612","B8845","38mm CASEMENT","38 Casement","590","1190","R1,944.44","WHITE","R221.91","R310.67","FALSE"
"B8845-PT615","B8845","38mm CASEMENT","38 Casement","590","1490","R2,142.65","WHITE","R244.84","R342.78","FALSE"
"B8845-PT618","B8845","38mm CASEMENT","38 Casement","590","1790","R2,487.44","WHITE","R279.59","R391.42","FALSE"
"B8845-PT66","B8845","38mm CASEMENT","38 Casement","590","590","R1,119.86","WHITE","R127.16","R178.02","FALSE"
"B8845-PT69","B8845","38mm CASEMENT","38 Casement","590","890","R1,752.44","WHITE","R199.69","R279.57","FALSE"
"B8845-PTT1212","B8845","38mm CASEMENT","38 Casement","1190","1190","R3,474.53","WHITE","R396.32","R554.85","FALSE"
"B8845-PTT1215","B8845","38mm CASEMENT","38 Casement","1190","1490","R4,184.15","WHITE","R476.67","R667.33","FALSE"
"B8845-PTT1218","B8845","38mm CASEMENT","38 Casement","1190","1790","R4,887.36","WHITE","R546.77","R765.47","FALSE"
"B8845-PTT1812","B8845","38mm CASEMENT","38 Casement","1790","1190","R3,967.19","WHITE","R453.44","R634.81","FALSE"
"B8845-PTT186","B8845","38mm CASEMENT","38 Casement","1790","590","R3,181.31","WHITE","R362.76","R507.86","FALSE"
"B8845-PTT612","B8845","38mm CASEMENT","38 Casement","590","1190","R2,632.94","WHITE","R300.01","R420.02","FALSE"
"B8845-PTT615","B8845","38mm CASEMENT","38 Casement","590","1490","R2,995.31","WHITE","R341.24","R477.73","FALSE"
"B8845-PTT618","B8845","38mm CASEMENT","38 Casement","590","1790","R3,252.96","WHITE","R368.37","R515.71","FALSE"
"B8982-W1 Insert ","B8982","Single Vertical Colonial Bars Split","38 Casement","987","1852","R3,340.75","WHITE","R372.85","R521.99","FALSE"
"B8982-W1A Insert","B8982","Single Vertical Colonial Bars Split","38 Casement","937","1867","R3,242.41","WHITE","R361.88","R506.63","FALSE"
"B8982-W2 Insert","B8982","Single Vertical Colonial Bars Split","38 Casement","1037","2002","R3,609.82","WHITE","R402.88","R564.03","FALSE"
"B8982-W2B Insert","B8982","Single Vertical Colonial Bars Split","38 Casement","1032","1987","R3,581.82","WHITE","R399.76","R559.66","FALSE"
"C3326-W01","C3326","38mm CASEMENT","38 Casement","970","1000","R3,487.15","WHITE","R389.19","R544.87","FALSE"
"C3347-Staircase Insert","C3347","38mm CASEMENT","38 Casement","507","997","R1,652.83","WHITE","R184.47","R258.25","FALSE"
"C3366-Dressing Room","C3366","38mm CASEMENT","38 Casement","1210","905","R3,331.78","CHARCOAL","R371.85","R520.59","FALSE"
"C3366-Ensuite ","C3366","38mm CASEMENT","38 Casement","2070","625","R4,628.81","CHARCOAL","R516.61","R723.25","FALSE"
"C3366-Main Bed","C3366","38mm CASEMENT","38 Casement","580","1150","R2,276.57","CHARCOAL","R254.08","R355.71","FALSE"
"C3366-Main Bed W","C3366","38mm CASEMENT","38 Casement","1165","1795","R5,038.50","CHARCOAL","R562.33","R787.27","FALSE"
"C3407-Bath","C3407","38mm CASEMENT","38 Casement","500","900","R2,166.64","BLACK|MATT BLACK","R241.81","R338.54","FALSE"
"C3407-Kitchen W","C3407","38mm CASEMENT","38 Casement","1680","1195","R5,837.13","BLACK|MATT BLACK","R651.47","R912.05","FALSE"
"C3407-Scullery W","C3407","38mm CASEMENT","38 Casement","1200","900","R3,629.60","BLACK|MATT BLACK","R405.09","R567.12","FALSE"
"C3464-W1","C3464","38mm CASEMENT","38 Casement","2400","1490","R10,569.43","CHARCOAL","R1,179.62","R1,651.47","FALSE"
"C3464-W3","C3464","38mm CASEMENT","38 Casement","1490","1200","R5,669.77","CHARCOAL","R632.79","R885.90","FALSE"
"C3464-W5","C3464","38mm CASEMENT","38 Casement","590","900","R2,078.19","CHARCOAL","R231.94","R324.72","FALSE"
"C3495-Ensuite Closet","C3495","38mm CASEMENT","38 Casement","580","595","R1,802.86","BLACK|MATT BLACK","R201.21","R281.70","FALSE"
"C3495-Ensuite Shower","C3495","38mm CASEMENT","38 Casement","585","595","R1,814.53","BLACK|MATT BLACK","R202.51","R283.52","FALSE"
"C3495-Ensuite Toilet","C3495","38mm CASEMENT","38 Casement","580","595","R1,802.86","BLACK|MATT BLACK","R201.21","R281.70","FALSE"
"C3495-Ensuite W1","C3495","38mm CASEMENT","38 Casement","430","1120","R2,699.53","BLACK|MATT BLACK","R301.29","R421.80","FALSE"
"C3495-Kitchen W","C3495","38mm CASEMENT","38 Casement","1175","1800","R7,178.40","BLACK|MATT BLACK","R801.16","R1,121.63","FALSE"
"C3495-Kitchen W.","C3495","38mm CASEMENT","38 Casement","1170","1800","R7,151.75","BLACK|MATT BLACK","R798.19","R1,117.46","FALSE"
"C3495-Lounge W","C3495","38mm CASEMENT","38 Casement","560","590","R1,618.31","BLACK|MATT BLACK","R180.62","R252.86","FALSE"
"C3495-Lounge W.","C3495","38mm CASEMENT","38 Casement","570","590","R1,680.83","BLACK|MATT BLACK","R187.59","R262.63","FALSE"
"C3495-Office Windows ","C3495","38mm CASEMENT","38 Casement","365","390","R958.59","BLACK|MATT BLACK","R106.99","R149.78","FALSE"
"C3523-W 02","C3523","38mm CASEMENT","38 Casement","2000","1500","R6,082.63","CHARCOAL","R992.92","R1,390.09","FALSE"
"C3523-W 03","C3523","38mm CASEMENT","38 Casement","600","1200","R2,819.47","CHARCOAL","R314.67","R440.54","FALSE"
"C3523-W 04","C3523","38mm CASEMENT","38 Casement","1200","1200","R6,574.54","CHARCOAL","R732.33","R1,025.27","FALSE"
"C3523-W 10","C3523","38mm CASEMENT","38 Casement","2100","600","R4,508.03","CHARCOAL","R501.54","R702.15","FALSE"
"C3532-Main Bed W1","C3532","38mm CASEMENT","38 Casement","995","1530","R4,332.60","WHITE","R483.55","R676.97","FALSE"
"C3532-Main Bed W2","C3532","38mm CASEMENT","38 Casement","1485","1530","R6,844.48","WHITE","R763.89","R1,069.45","FALSE"
"C3541-TL1 A Insert","C3541","38mm CASEMENT","38 Casement","2207","477","R2,362.25","SILVER","R263.64","R369.10","FALSE"
"C3541-TL1 B Insert","C3541","38mm CASEMENT","38 Casement","2107","477","R2,267.87","SILVER","R253.11","R354.35","FALSE"
"C3541-TL1 C Insert","C3541","38mm CASEMENT","38 Casement","2192","477","R2,349.05","SILVER","R262.17","R367.04","FALSE"
"C3548-Double Glaze A","C3548","38mm CASEMENT","38 Casement","904","894","R1,897.37","SPECIAL C1|VP 7114 - MATT TRAFFIC GREY-s","R211.76","R296.46","FALSE"
"C3552-TL2 A Insert","C3552","38mm CASEMENT","38 Casement","2182","477","R2,340.26","SILVER","R261.19","R365.66","FALSE"
"C3552-TL2 B Insert","C3552","38mm CASEMENT","38 Casement","2107","477","R2,267.87","SILVER","R253.11","R354.35","FALSE"
"C3552-TL2 C Insert","C3552","38mm CASEMENT","38 Casement","2197","477","R2,353.45","SILVER","R262.66","R367.73","FALSE"
"C3707-2nd Bed","C3707","Single Vertical Colonial Bars Split","38 Casement","1005","1530","R5,582.95","BLACK|MATT BLACK","R623.10","R872.34","FALSE"
"C3707-3rd Bed","C3707","Single Vertical Colonial Bars Split","38 Casement","1005","1530","R5,589.63","BLACK|MATT BLACK","R623.84","R873.38","FALSE"
"C3707-Bathroom ","C3707","Single Vertical Colonial Bars Split","38 Casement","705","880","R3,007.30","BLACK|MATT BLACK","R335.64","R469.89","FALSE"
"C3707-Dining Room W","C3707","Single Vertical Colonial Bars Split - Clear B/Bars","38 Casement","1000","1540","R5,071.72","BLACK|MATT BLACK","R566.04","R792.46","FALSE"
